Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,NA,NA,g__Candidatus Puniceispirillum,s__Candidatus Puniceispirillum marinum
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Reidiella,s__Candidatus Reidiella endopervernicosa
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Ruthia,s__Candidatus Ruthia endofausta
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Ruthia,s__Candidatus Ruthia magnifica
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Steffania,s__Candidatus Steffania adelgidicola
d__Bacteria,p__Bacteroidota,NA,o__Candidatus Sulfidibacteriales,NA,g__Candidatus Sulfidibacterium,s__Candidatus Sulfidibacterium hydrothermale
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Thioglobus,s__Candidatus Thioglobus autotrophicus
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Thioglobus,s__Candidatus Thioglobus sp. NP1
d__Bacteria,p__Candidatus Omnitrophica,NA,NA,NA,g__Candidatus Velamenicoccus,s__Candidatus Velamenicoccus archaeovorus
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Vesicomyosocius,s__Candidatus Vesicomyosocius okutanii
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Vesicomyosocius,s__Candidatus Vesicomyosocius sp. SY067_SCS001
d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,NA,g__Candidatus Walczuchella,s__Candidatus Walczuchella monophlebidarum
d__Bacteria,p__Verrucomicrobiota,c__Spartobacteria,NA,NA,g__Candidatus Xiphinematobacter,s__Candidatus Xiphinematobacter sp. Idaho Grape
